Name,City,State,Total Patients,Mortality %,Complication %,Start Date,End Date
Trinity Health,Minot,North Dakota,,,,,
CHI Mercy Hospital,Devils Lake,North Dakota,,,,,
CHI St. Alexius Health,Bismarck,North Dakota,38,96,84,July 2011,June 2014
CHI Oakes Hospital,Oakes,North Dakota,,,,,
Jacobson Memorial Hospital Care Center,Elgin,North Dakota,,,,,
Sanford Bismarck,Bismarck,North Dakota,30,97,88,July 2011,June 2014
Cavalier County Memorial Hospital,Langdon,North Dakota,,,,,
Southwest Healthcare Services,Bowman,North Dakota,,,,,
Community Memorial Hospital,Turtle Lake,North Dakota,,,,,
Altru Health System,Grand Forks,North Dakota,70,96,83,July 2011,June 2014
CHI Lisbon Health,Lisbon,North Dakota,,,,,
Garrison Memorial Hospital,Garrison,North Dakota,,,,,
First Care Health Center,Park River,North Dakota,,,,,
Northwood Deaconess Health Center,Northwood,North Dakota,,,,,
Mercy Medical Center,Williston,North Dakota,,,,,
Presentation Medical Center,Rolla,North Dakota,,,,,
Sakakawea Medical Center,Hazen,North Dakota,,,,,
Linton Hospital,Linton,North Dakota,,,,,
West River Regional Medical Center,Hettinger,North Dakota,,,,,
St. Andrew's Health Center,Bottineau,North Dakota,,,,,
Unity Medical Center,Grafton,North Dakota,,,,,
Towner County Medical Center,Cando,North Dakota,,,,,
CHI Mercy Health,Valley City,North Dakota,,,,,
Wishek Community Hospital and Clinics,Wishek,North Dakota,,,,,
Pembina County Memorial Hospital and Wedgewood Manor,Cavalier,North Dakota,,,,,
Essentia Health Fargo,Fargo,North Dakota,46,97,83,July 2011,June 2014
Sanford Mayville Medical Center,Mayville,North Dakota,,,,,
Sanford Medical Center Fargo,Fargo,North Dakota,,,,,
St. Joseph's Hospital and Health Center,Dickinson,North Dakota,,,,,
Tioga Medical Center,Tioga,North Dakota,,,,,
Sanford Hillsboro Medical Center,Hillsboro,North Dakota,,,,,
St. Luke's Medical Center,Crosby,North Dakota,,,,,
CHI Carrington Health,Carrington,North Dakota,,,,,
McKenzie County Healthcare System,Watford City,North Dakota,,,,,
Heart of America Medical Center,Rugby,North Dakota,,,,,
Ashley Medical Center,Ashley,North Dakota,,,,,
Indian Health Service - Quentin N. Burdick Memorial Health Care Facility,Belcourt,North Dakota,,,,,
Jamestown Regional Medical Center,Jamestown,North Dakota,,,,,
Cooperstown Medical Center,Cooperstown,North Dakota,,,,,
St. Aloisius Medical Center,Harvey,North Dakota,,,,,
Sebasticook Valley Health,Pittsfield,Maine,,,,,
Rumford Hospital,Rumford,Maine,,,,,
Mayo Regional Hospital,Dover-Foxcroft,Maine,,,,,
Mount Desert Island Hospital,Bar Harbor,Maine,,,,,
St. Joseph Hospital,Bangor,Maine,,,,,
Calais Regional Hospital,Calais,Maine,,,,,
York Hospital,York,Maine,,,,,
St. Mary's Regional Medical Center,Lewiston,Maine,,,,,
Redington-Fairview General Hospital,Skowhegan,Maine,,,,,
MaineGeneral Medical Center,Augusta,Maine,,,,,
Bridgton Hospital,Bridgton,Maine,,,,,
Parkview Adventist Medical Center,Brunswick,Maine,,,,,
Mercy Hospital of Portland,Portland,Maine,,,,,
Houlton Regional Hospital,Houlton,Maine,,,,,
Millinocket Regional Hospital,Millinocket,Maine,,,,,
Eastern Maine Medical Center,Bangor,Maine,,,,,
LincolnHealth,Damariscotta,Maine,,,,,
Stephens Memorial Hospital,Norway,Maine,,,,,
Maine Coast Memorial Hospital,Ellsworth,Maine,,,,,
Aroostook Medical Center,Presque Isle,Maine,,,,,
Northern Maine Medical Center,Fort Kent,Maine,,,,,
Central Maine Medical Center,Lewiston,Maine,,,,,
Penobscot Valley Hospital,Lincoln,Maine,,,,,
Southern Maine Health Care - Biddeford Medical Center,Biddeford,Maine,,,,,
Charles A. Dean Memorial Hospital,Greenville,Maine,,,,,
Maine Medical Center,Portland,Maine,265,98,90,July 2011,June 2014
Mid Coast Hospital,Brunswick,Maine,,,,,
Waldo County General Hospital,Belfast,Maine,,,,,
Cary Medical Center,Caribou,Maine,,,,,
Pen Bay Medical Center,Rockport,Maine,,,,,
Franklin Memorial Hospital,Farmington,Maine,,,,,
Inland Hospital,Waterville,Maine,,,,,
